时间,FDI累积,FDI
1999年1月,2046,2046
1999年2月,4208,2162
1999年3月,7340,3132
1999年4月,10240,2900
1999年5月,13903,3663
1999年6月,18566,4663
1999年7月,21487,2921
1999年8月,24749,3262
1999年9月,29233,4484
1999年10月,32385,3152
1999年11月,37088,4703
1999年12月,40320,3232
2000年1月,1832,1832
2000年2月,3686,1854
2000年3月,7140,3454
2000年4月,9742,2602
2000年5月,12762,3020
2000年6月,17167,4405
2000年7月,19895,2728
2000年8月,22792,2897
2000年9月,26683,3891
2000年10月,31402,4719
2000年11月,36240,4838
2000年12月,40772,4532
2001年1月,2221,2221
2001年2月,4576,2355
2001年3月,7978,3402
2001年4月,10953,2975
2001年5月,15060,4107
2001年6月,20709,5649
2001年7月,24209,3500
2001年8月,27439,3230
2001年9月,32196,4757
2001年10月,37253,5057
2001年11月,41900,4647
2001年12月,46850,4950
2002年1月,2966,2966
2002年2月,5875,2909
2002年3月,10111,4236
2002年4月,14136,4025
2002年5月,16922,2786
2002年6月,24579,7657
2002年7月,29542,4963
2002年8月,34442,4900
2002年9月,39556,5114
2002年10月,44721,5165
2002年11月,48011,3290
2002年12月,52743,4732
2003年1月,3593,3593
2003年2月,7543,3950
2003年3月,13086,5543
2003年4月,17823,4737
2003年5月,23271,5448
2003年6月,30255,6984
2003年7月,33354,3099
2003年8月,36674,3320
2003年9月,40238,3564
2003年10月,43556,3318
2003年11月,47154,3598
2003年12月,53505,6351
2004年1月,4083,4083
2004年2月,8319,4236
2004年3月,14066,5747
2004年4月,19617,5551
2004年5月,25911,6294
2004年6月,33883,7972
2004年7月,38403,4520
2004年8月,43559,5156
2004年9月,48692,5133
2004年10月,53781,5089
2004年11月,58178,4397
2004年12月,60630,2452
2005年1月,4095,4095
2005年2月,7969,3874
2005年3月,13388,5419
2005年4月,17473,4085
2005年5月,22366,4893
2005年6月,28563,6197
2005年7月,33091,4528
2005年8月,37993,4902
2005年9月,43247,5254
2005年10月,48411,5164
2005年11月,53127,4716
2005年12月,60325,7198
2006年1月,4545,4545
2006年2月,8589,4044
2006年3月,14246,5657
2006年4月,18480,4234
2006年5月,22989,4509
2006年6月,28428,5439
2006年7月,32707,4279
2006年8月,37192,4485
2006年9月,42589,5397
2006年10月,48576,5987
2006年11月,54263,5687
2006年12月,63021,8758
2007年1月,5175,5175
2007年2月,9709,4534
2007年3月,15893,6184
2007年4月,20359,4466
2007年5月,25258,4899
2007年6月,31889,6631
2007年7月,36931,5042
2007年8月,41949,5018
2007年9月,47219,5270
2007年10月,53995,6776
2007年11月,61674,7679
2007年12月,74768,13094
2008年1月,11200,11200
2008年2月,18128,6928
2008年3月,27414,9286
2008年4月,35017,7603
2008年5月,42778,7761
2008年6月,52388,9610
2008年7月,60724,8336
2008年8月,67732,7008
2008年9月,74374,6642
2008年10月,81096,6722
2008年11月,86418,5322
2008年12月,92395,5977
2009年1月,7541,7541
2009年2月,13374,5833
2009年3月,21777,8403
2009年4月,27669,5892
2009年5月,34048,6379
2009年6月,43009,8961
2009年7月,48368,5359
2009年8月,55867,7499
2009年9月,63766,7899
2009年10月,70871,7105
2009年11月,77894,7023
2009年12月,90033,12139
2010年1月,8129,8129
2010年2月,14024,5895
2010年3月,23443,9419
2010年4月,30789,7346
2010年5月,38921,8132
2010年6月,51430,12509
2010年7月,58354,6924
2010年8月,65956,7602
2010年9月,74340,8384
2010年10月,82003,7663
2010年11月,91707,9704
2010年12月,105735,14028
2011年1月,10028,10028
2011年2月,17823,7795
2011年3月,30340,12517
2011年4月,38803,8463
2011年5月,48028,9225
2011年6月,60891,12863
2011年7月,69187,8296
2011年8月,77634,8447
2011年9月,86679,9045
2011年10月,95012,8333
2011年11月,103769,8757
2011年12月,116011,12242
2012年1月,9997,9997
2012年2月,17723,7726
2012年3月,29480,11757
2012年4月,37881,8401
2012年5月,47110,9229
2012年6月,59089,11979
2012年7月,66669,7580
2012年8月,74994,8325
2012年9月,83423,8429
2012年10月,91736,8313
2012年11月,100022,8286
2012年12月,111716,11694
2013年1月,9270,9270
2013年2月,17484,8214
2013年3月,29905,12421
2013年4月,38340,8435
2013年5月,47595,9255
2013年6月,61984,14389
2013年7月,71392,9408
2013年8月,79770,8378
2013年9月,88609,8839
2013年10月,97026,8417
2013年11月,105506,8480
2013年12月,117586,12080
2014年1月,10763,10763
2014年2月,19310,8547
2014年3月,31549,12239
2014年4月,40269,8720
2014年5月,48909,8640
2014年6月,63326,14417
2014年7月,71139,7813
2014年8月,78344,7205
2014年9月,87355,9011
2014年10月,95881,8526
2014年11月,106241,10360
2014年12月,119562,13321
2015年1月,13923,13923
2015年2月,22484,8561
2015年3月,34883,12399
2015年4月,44494,9611
2015年5月,53829,9335
2015年6月,68411,14582
2015年7月,76631,8220
2015年8月,85343,8712
2015年9月,94903,9560
2015年10月,103676,8773
2015年11月,114037,10361
2015年12月,126267,12230
2016年1月,14070,14070
2016年2月,22517,8447
2016年3月,35415,12898
2016年4月,45303,9888
2016年5月,54190,8887
2016年6月,69417,15227
2016年7月,77126,7709
2016年8月,85881,8755
2016年9月,95094,9213
2016年10月,103906,8812
2016年11月,113793,9887
2016年12月,126001,12208
2017年1月,11998,11998
2017年2月,20704,8706
2017年3月,33812,13108
2017年4月,42732,8920
2017年5月,50845,8113
2017年6月,65646,14801
2017年7月,72141,6495
2017年8月,81504,9363
2017年9月,92089,10585
2017年10月,101123,9034
2017年11月,119905,18782
2017年12月,131035,11130
2018年1月,12074,12074
2018年2月,21062,8988
2018年3月,34509,13447
2018年4月,43600,9091
2018年5月,52659,9059
2018年6月,68321,15662
2018年7月,76070,7749
2018年8月,86497,10427
2018年9月,97959,11462
2018年10月,107655,9696
2018年11月,121257,13602
2018年12月,134966,13709
